amount,dealsubtype,dealtype,from.id,from.label,from.name,from.taxonomy,id,realsector,sector.id,sector.label,sector.name,sector.taxonomy,time.day,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.id,to.label,to.name,to.taxonomy
1000000.0,,Auction,79,Romania,ro,from,e0dc2c0bb553835a8d18a43448cd1e7ad7a614fd,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8197,AGROMEC PARAVA S.A.,agromec-parava-s-a,to
1000000.0,,Negotiation,79,Romania,ro,from,e0f856814845fb07f80bfef496fb762acc0cb436,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7918,GENE ANGYTIM S.A.,gene-angytim-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e10fdd6898a77bea780930c5232dc8ef609066cf,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7972,INDUSTRIE LOCALA SI PRESTATII S.A.,industrie-locala-si-prestatii-s-a,to
1000000.0,,On the basis of purchasing obligation,40,Hungary,hu,from,e14e19c74f781d128d94e9c25f614f80ebf9c2b1,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,4130,Újpesti Gépelemgyár Kft.,ujpesti-gepelemgyar-kft,to
1000000.0,,Auction,79,Romania,ro,from,e15f39f9dd77950f0f94887d9619eaf44d06ac6b,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8205,ASEL S.A.,asel-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e163380267544d2ab3f13575ca7cde15b004f86c,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8093,LA DERMER 22 S.A.,la-dermer-22-s-a,to
1000000.0,,"30-year concession,  $500Mn future invest.",5,Argentina,ar,from,e26ed78f36f8481b094158382c2806e8f58eccfb,Railroads,1,Infrastructure,infrastructure,sector,01,18,01. January 1991,01,1991-01-01,0,time,00,1991,199101,1863,Rosario-Bahia Blanca,rosario-bahia-blanca,to
1000000.0,,Auction,83,Serbia,rs,from,e2998284270248e214e23f101c73025709562941,,2,Financial,financial,sector,01,9,01. January 2008,01,2008-01-01,0,time,00,2008,200801,1334," ""MGI REVIZIJA I RA_UNOVODSTVO"" a.d., Beograd-Vra_ar",mgi-revizija-i-ra-unovodstvo-a-d-beograd-vra-ar,to
1000000.0,"Build, rehabilitate, operate and transfer",Concession,41,India,in,from,e316f56979bacd97a37553199b4d3af3ca58bb68,,1,Infrastructure,infrastructure,sector,01,2,01. January 2006,01,2006-01-01,0,time,00,2006,200601,749,Oriental Pathways (Agra) Private Limited,oriental-pathways-agra-private-limited,to
1000000.0,,Auction,79,Romania,ro,from,e372a5c3da106e28cfdf8a014a490031e1b72c58,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7986,COMAT S.A.,comat-s-a,to
